artist_name,artist_id
Caravan Palace,55
bo en,43
Xguiz,373
Patricia Taxxon,256
Stegosaurus Rex,302
deadman 死人,87
AJR,9
AJR,9
Ghost and Pals,135
Roar,278
Lizz Robinett,212
girl in red,137
Clairo,68
girl in red,137
Tally Hall,314
Armut,21
Ayparia,25
L Devine,198
Kehlani,183
The Living Tombstone,336
Melanie Martinez,230
CircusP,66
Crusher-P,76
CircusP,66
Crusher-P,76
Kitty,195
Lemon Demon,206
Daphne Rubin-Vega,82
Andrew Underberg,18
Sam Haft,285
Imogen Heap,161
Savlonic,287
Laurie Anderson,203
Rio Romeo,277
Jimmy Urine,171
Basement Jaxx,32
MGMT,233
chart,60
Starley,301
My Singing Monsters,241
Werdos,369
Dipsters,92
TV Girl,360
Black Gryph0n,40
Baasik,28
Michael Kovach,234
Elsie Lovelock,111
Krystal LaPorte,196
Michelle Marie,235
Mad Tsai,221
Gracie Abrams,141
Queen,268
STOMACH BOOK,306
Evanescence,119
WRABEL,372
WRABEL,372
Em Beihold,114
Cótiles,71
Tryhardninja,358
Toby Fox,346
TV Girl,360
TV Girl,360
TV Girl,360
Sodikken,295
Ghost and Pals,135
Lauren Estes,202
Ghost,134
Black Gryph0n,40
Baasik,28
Kevin Foster,188
The Living Tombstone,336
Steven Universe,305
Christine Ebersole,65
Patti LuPone,257
Lisa Hannigan,211
Sarah Stiles,286
The Gregory Brothers,332
TomSka,350
Cótiles,71
