artist_name-1,Artist Name(s),artist_id
The Cult,The Cult,326
Daft Punk,Daft Punk,80
The Cure,The Cure,327
Memphis Cult,Memphis Cult;Groove Dealers;SPLYXER,231
Groove Dealers,Memphis Cult;Groove Dealers;SPLYXER,145
SPLYXER,Memphis Cult;Groove Dealers;SPLYXER,300
Cults,Cults,78
Eagles,Eagles,105
DTMX,DTMX,101
Djo,Djo,96
Djo,Djo,96
Torre Florim,Torre Florim,351
De Staat,De Staat,86
d4vd,d4vd,79
Speelburg,Speelburg,299
Le Tigre,Le Tigre,205
Vindigo,Vindigo,366
The Chemical Brothers,The Chemical Brothers,325
Men Without Hats,Men Without Hats,232
Jamiroquai,Jamiroquai,165
De Staat,De Staat,86
The Goo Goo Dolls,The Goo Goo Dolls,331
Lenny Kravitz,Lenny Kravitz,207
Frank Sinatra,Frank Sinatra,128
Mac DeMarco,Mac DeMarco,217
Ted Nugent,Ted Nugent,316
Teddybears,Teddybears;Iggy Pop,317
Iggy Pop,Teddybears;Iggy Pop,159
Australian Crawl,Australian Crawl,23
Seph Bentos,Seph Bentos,289
DigBar,DigBar,91
Vacations,Vacations,365
PARTYNEXTDOOR,PARTYNEXTDOOR,254
PARTYNEXTDOOR,PARTYNEXTDOOR,254
PARTYNEXTDOOR,PARTYNEXTDOOR,254
PARTYNEXTDOOR,PARTYNEXTDOOR;Drake,254
Drake,PARTYNEXTDOOR;Drake,100
Drake,Drake,100
Drake,Drake,100
Drake,Drake;Chris Brown,100
Chris Brown,Drake;Chris Brown,62
Jhené Aiko,Jhené Aiko,170
The Weeknd,The Weeknd,341
Bryson Tiller,Bryson Tiller,49
Drake,Drake,100
Drake,Drake,100
Mariah the Scientist,Mariah the Scientist,224
Mariah the Scientist,Mariah the Scientist;Lil Baby,224
Lil Baby,Mariah the Scientist;Lil Baby,208
Tory Lanez,Tory Lanez,352
Trippie Redd,Trippie Redd;Reese LAFLARE;Young Thug,357
Reese LAFLARE,Trippie Redd;Reese LAFLARE;Young Thug,274
Young Thug,Trippie Redd;Reese LAFLARE;Young Thug,375
Jhené Aiko,Jhené Aiko,170
Drake,Drake;Jhené Aiko,100
Jhené Aiko,Drake;Jhené Aiko,170
Jhené Aiko,Jhené Aiko;Childish Gambino,170
Childish Gambino,Jhené Aiko;Childish Gambino,61
PARTYNEXTDOOR,PARTYNEXTDOOR,254
PARTYNEXTDOOR,PARTYNEXTDOOR,254
SZA,SZA,311
Bryson Tiller,Bryson Tiller,49
Bryson Tiller,Bryson Tiller,49
Keyshia Cole,Keyshia Cole,189
Alicia Keys,Alicia Keys;Drake,11
Drake,Alicia Keys;Drake,100
Kendrick Lamar,Kendrick Lamar;Jay Rock,185
Jay Rock,Kendrick Lamar;Jay Rock,166
Trey Songz,Trey Songz,356
PARTYNEXTDOOR,PARTYNEXTDOOR,254
Nardo Wick,Nardo Wick;Future;Lil Baby,242
Future,Nardo Wick;Future;Lil Baby,131
Lil Baby,Nardo Wick;Future;Lil Baby,208
1900Rugrat,1900Rugrat;1900RugratArchive,1
1900RugratArchive,1900Rugrat;1900RugratArchive,2
Frank Ocean,Frank Ocean,127
Bruno Mars,Bruno Mars,47
G Herbo,G Herbo,132
Frank Ocean,Frank Ocean;André 3000,127
André 3000,Frank Ocean;André 3000,16
GloRilla,GloRilla;Cardi B,138
Cardi B,GloRilla;Cardi B,56
Lil Baby,Lil Baby;Gunna;Drake,208
Gunna,Lil Baby;Gunna;Drake,146
Drake,Lil Baby;Gunna;Drake,100
Future,Future,131
Jhené Aiko,Jhené Aiko,170
Future,Future;42 Dugg;Lil Baby,131
42 Dugg,Future;42 Dugg;Lil Baby,5
Lil Baby,Future;42 Dugg;Lil Baby,208
Lil Baby,Lil Baby,208
Lil Baby,Lil Baby,208
Drake,Drake,100
PARTYNEXTDOOR,PARTYNEXTDOOR,254
Mariah the Scientist,Mariah the Scientist,224
Nardo Wick,Nardo Wick;Latto;Lakeyah,242
Latto,Nardo Wick;Latto;Lakeyah,201
Lakeyah,Nardo Wick;Latto;Lakeyah,199
Lil Durk,Lil Durk,209
Dee Mula,Dee Mula,88
Baby Smoove,Baby Smoove,29
PARTYNEXTDOOR,PARTYNEXTDOOR;Drake,254
Drake,PARTYNEXTDOOR;Drake,100
Drake,Drake,100
G Herbo,G Herbo;Southside,132
Southside,G Herbo;Southside,298
YK Osiris,YK Osiris,374
Nardo Wick,Nardo Wick,242
Drake,Drake,100
Drake,Drake,100
Drake,Drake,100
Drake,Drake,100
Drake,Drake,100
Drake,Drake;PARTYNEXTDOOR,100
PARTYNEXTDOOR,Drake;PARTYNEXTDOOR,254
WALK THE MOON,WALK THE MOON,367
Ghost and Pals,Ghost and Pals,135
Anamanaguchi,Anamanaguchi;Hatsune Miku,15
Hatsune Miku,Anamanaguchi;Hatsune Miku,151
Ck9c,Ck9c;Elizabeth Ann,67
Elizabeth Ann,Ck9c;Elizabeth Ann,109
Jagwar Twin,Jagwar Twin,163
Rebzyyx,Rebzyyx;hoshie star,272
hoshie star,Rebzyyx;hoshie star,155
fflockk,fflockk,121
JubyPhonic,JubyPhonic;Master Andross,177
Master Andross,JubyPhonic;Master Andross,226
Ghost and Pals,Ghost and Pals,135
The Living Tombstone,The Living Tombstone,336
NILFRUITS,NILFRUITS,247
CircusP,CircusP,66
OR3O,OR3O;Thai McGrath,251
Thai McGrath,OR3O;Thai McGrath,319
Peter McPoland,Peter McPoland,260
Tikkle Me,Tikkle Me,345
Azari,Azari,26
Kikuo,Kikuo,191
potsu,potsu,267
James Clarke,James Clarke,164
Crusher-P,Crusher-P,76
すいっち,すいっち,377
Matsushita,Matsushita,227
Mother Mother,Mother Mother,239
Mother Mother,Mother Mother,239
Mother Mother,Mother Mother,239
Ghost and Pals,Ghost and Pals,135
Sodikken,Sodikken,295
The Living Tombstone,The Living Tombstone;Eurobeat Brony,336
Eurobeat Brony,The Living Tombstone;Eurobeat Brony,118
Jack Stauber's Micropop,Jack Stauber's Micropop,162
The Dresden Dolls,The Dresden Dolls,328
Penelope Scott,Penelope Scott,259
Kyary Pamyu Pamyu,Kyary Pamyu Pamyu,197
Tally Hall,Tally Hall,314
Bo Burnham,Bo Burnham,42
Nashimoto Ui,Nashimoto Ui;Hatsune Miku,243
Hatsune Miku,Nashimoto Ui;Hatsune Miku,151
ENHYPEN,ENHYPEN,115
Scissor Sisters,Scissor Sisters,288
Amiicus,Amiicus,12
Penelope Scott,Penelope Scott,259
LongestSoloEver,LongestSoloEver;DayumDahlia,213
DayumDahlia,LongestSoloEver;DayumDahlia,85
JT Music,JT Music,176
Kaden MacKay,Kaden MacKay,179
Alex Brightman,Alex Brightman;Erika Henningsen;Andrew Underberg;Sam Haft,10
Erika Henningsen,Alex Brightman;Erika Henningsen;Andrew Underberg;Sam Haft,116
Sam Haft,Alex Brightman;Erika Henningsen;Andrew Underberg;Sam Haft,285
Andrew Underberg,Alex Brightman;Erika Henningsen;Andrew Underberg;Sam Haft,18
Christian Borle,Christian Borle;Amir Talai;Joel Perez;Andrew Underberg;Sam Haft,63
Amir Talai,Christian Borle;Amir Talai;Joel Perez;Andrew Underberg;Sam Haft,13
Andrew Underberg,Christian Borle;Amir Talai;Joel Perez;Andrew Underberg;Sam Haft,18
Joel Perez,Christian Borle;Amir Talai;Joel Perez;Andrew Underberg;Sam Haft,172
Sam Haft,Christian Borle;Amir Talai;Joel Perez;Andrew Underberg;Sam Haft,285
Jeremy Jordan,Jeremy Jordan;Amir Talai;Erika Henningsen;Kimiko Glenn;Andrew Underberg;Sam Haft,168
Amir Talai,Jeremy Jordan;Amir Talai;Erika Henningsen;Kimiko Glenn;Andrew Underberg;Sam Haft,13
Kimiko Glenn,Jeremy Jordan;Amir Talai;Erika Henningsen;Kimiko Glenn;Andrew Underberg;Sam Haft,192
Erika Henningsen,Jeremy Jordan;Amir Talai;Erika Henningsen;Kimiko Glenn;Andrew Underberg;Sam Haft,116
Andrew Underberg,Jeremy Jordan;Amir Talai;Erika Henningsen;Kimiko Glenn;Andrew Underberg;Sam Haft,18
Sam Haft,Jeremy Jordan;Amir Talai;Erika Henningsen;Kimiko Glenn;Andrew Underberg;Sam Haft,285
The Living Tombstone,The Living Tombstone;Eile Monty;Orko,336
Eile Monty,The Living Tombstone;Eile Monty;Orko,107
Orko,The Living Tombstone;Eile Monty;Orko,252
JT Music,JT Music;Andrea Storm Kaden,176
Andrea Storm Kaden,JT Music;Andrea Storm Kaden,17
Shadrow,Shadrow,290
The Living Tombstone,The Living Tombstone,336
The Living Tombstone,The Living Tombstone,336
Jorge Aguilar II,Jorge Aguilar II,175
Jack Stauber's Micropop,Jack Stauber's Micropop,162
Bo Burnham,Bo Burnham,42
Jack Stauber's Micropop,Jack Stauber's Micropop,162
Lemon Demon,Lemon Demon,206
The Blake Robinson Synthetic Orchestra,The Blake Robinson Synthetic Orchestra,323
Laurindo Almeida,Laurindo Almeida,204
Jack Stauber's Micropop,Jack Stauber's Micropop,162
Black Gryph0n,Black Gryph0n;Baasik;Elsie Lovelock,40
Baasik,Black Gryph0n;Baasik;Elsie Lovelock,28
Elsie Lovelock,Black Gryph0n;Baasik;Elsie Lovelock,111
Regina Spektor,Regina Spektor,275
Penelope Scott,Penelope Scott,259
Bo Burnham,Bo Burnham,42
Tally Hall,Tally Hall,314
Penelope Scott,Penelope Scott,259
Kero Kero Bonito,Kero Kero Bonito,186
Miracle Musical,Miracle Musical,236
CreepP,CreepP,75
Crusher-P,Crusher-P,76
Miracle Musical,Miracle Musical,236
Måneskin,Måneskin;Tom Morello,223
Tom Morello,Måneskin;Tom Morello,347
asteria,asteria,22
mazie,mazie,228
Crusher-P,Crusher-P,76
Keith David,Keith David;Blake Roman;Andrew Underberg;Sam Haft,184
Blake Roman,Keith David;Blake Roman;Andrew Underberg;Sam Haft,41
Sam Haft,Keith David;Blake Roman;Andrew Underberg;Sam Haft,285
Andrew Underberg,Keith David;Blake Roman;Andrew Underberg;Sam Haft,18
Miracle Musical,Miracle Musical,236
Cavetown,Cavetown,58
Griffinilla,Griffinilla,144
APOCALIPSIS,APOCALIPSIS,19
Derivakat,Derivakat,90
MandoPony,MandoPony,222
Beat Saber,Beat Saber;The Living Tombstone,36
The Living Tombstone,Beat Saber;The Living Tombstone,336
Tally Hall,Tally Hall,314
Rebzyyx,Rebzyyx,272
Will Stetson,Will Stetson,370
bo en,bo en,43
The Newton Brothers,The Newton Brothers,338
The Living Tombstone,The Living Tombstone,336
CreepP,CreepP;CircusP,75
CircusP,CreepP;CircusP,66
ElyOtto,ElyOtto,113
The Living Tombstone,The Living Tombstone;OR3O,336
OR3O,The Living Tombstone;OR3O,251
The Living Tombstone,The Living Tombstone;Crusher-P,336
Crusher-P,The Living Tombstone;Crusher-P,76
Black Gryph0n,Black Gryph0n;Baasik,40
Baasik,Black Gryph0n;Baasik,28
PinocchioP,PinocchioP,263
Siinamota,Siinamota,292
The Living Tombstone,The Living Tombstone,336
Richard Carter,Richard Carter,276
Erika Henningsen,Erika Henningsen;Shoba Narayan;Patina Miller;Jessica Vosk;Stephanie Beatriz;Andrew Underberg;Sam Haft,116
Shoba Narayan,Erika Henningsen;Shoba Narayan;Patina Miller;Jessica Vosk;Stephanie Beatriz;Andrew Underberg;Sam Haft,291
Jessica Vosk,Erika Henningsen;Shoba Narayan;Patina Miller;Jessica Vosk;Stephanie Beatriz;Andrew Underberg;Sam Haft,169
Patina Miller,Erika Henningsen;Shoba Narayan;Patina Miller;Jessica Vosk;Stephanie Beatriz;Andrew Underberg;Sam Haft,255
Stephanie Beatriz,Erika Henningsen;Shoba Narayan;Patina Miller;Jessica Vosk;Stephanie Beatriz;Andrew Underberg;Sam Haft,303
Sam Haft,Erika Henningsen;Shoba Narayan;Patina Miller;Jessica Vosk;Stephanie Beatriz;Andrew Underberg;Sam Haft,285
Andrew Underberg,Erika Henningsen;Shoba Narayan;Patina Miller;Jessica Vosk;Stephanie Beatriz;Andrew Underberg;Sam Haft,18
Caravan Palace,Caravan Palace,55
bo en,bo en,43
Xguiz,Xguiz;Patricia Taxxon,373
Patricia Taxxon,Xguiz;Patricia Taxxon,256
Stegosaurus Rex,Stegosaurus Rex,302
deadman 死人,deadman 死人,87
AJR,AJR,9
AJR,AJR,9
Ghost and Pals,Ghost and Pals,135
Roar,Roar,278
Lizz Robinett,Lizz Robinett,212
girl in red,girl in red,137
Clairo,Clairo,68
girl in red,girl in red,137
Tally Hall,Tally Hall,314
Armut,Armut;Ayparia,21
Ayparia,Armut;Ayparia,25
L Devine,L Devine,198
Kehlani,Kehlani,183
The Living Tombstone,The Living Tombstone,336
Melanie Martinez,Melanie Martinez,230
CircusP,CircusP,66
Crusher-P,Crusher-P,76
CircusP,CircusP,66
Crusher-P,Crusher-P,76
Kitty,Kitty,195
Lemon Demon,Lemon Demon,206
Daphne Rubin-Vega,Daphne Rubin-Vega;Andrew Underberg;Sam Haft,82
Andrew Underberg,Daphne Rubin-Vega;Andrew Underberg;Sam Haft,18
Sam Haft,Daphne Rubin-Vega;Andrew Underberg;Sam Haft,285
Imogen Heap,Imogen Heap,161
Savlonic,Savlonic,287
Laurie Anderson,Laurie Anderson,203
Rio Romeo,Rio Romeo,277
Jimmy Urine,Jimmy Urine,171
Basement Jaxx,Basement Jaxx,32
MGMT,MGMT,233
chart,chart,60
Starley,Starley,301
My Singing Monsters,My Singing Monsters;Werdos;Dipsters,241
Werdos,My Singing Monsters;Werdos;Dipsters,369
Dipsters,My Singing Monsters;Werdos;Dipsters,92
